icon;domain;measure;spatial_scope;temporal_scope;entity_group;entity_key;var_name;ka;label_de;unit;comment;Formel
🌒;heat_balance;heat_loss;cooled;annual;;;QVn_c;3;Nachtlüftung gekühlt;kWh/m²NGFgekühlta;;
🌞;heat_balance;heat_gain;cooled;annual;;;QS_c;3;Solare Gewinne;kWh/m²NGFgekühlta;;SUMME(sim[QS_c])/1000
👤;heat_balance;heat_gain;cooled;annual;;;QI_c;3;Innere Wärmen;kWh/m²NGFgekühlta;;0,001*SUMME(sim[QI_c])
♨;heat_balance;heating_demand;cooled;annual;;;QH_c;3;Heizwärmebedarf;kWh/m²NGFgekühlta;;QH_min_c+QH_flex_c
❄;heat_balance;cooling_demand;cooled;annual;;;QC_c;3;Kühlbedarf (KB);kWh/m²NGFgekühlta;;QC_min_c+QC_flex_c
🧱;heat_balance;heat_loss;cooled;annual;hull;wall;QT_wall_c;3;Transmission AW;kWh/m²NGFgekühlta;;QT_c*IN!N110/transmittance_Wm2
🧱;heat_balance;heat_loss;cooled;annual;hull;roof;QT_roof_c;3;Transmission Dach;kWh/m²NGFgekühlta;;QT_c*IN!N111/transmittance_Wm2
🧱;heat_balance;heat_loss;cooled;annual;hull;fundament;QT_ground_c;3;Transmission KD/EFB;kWh/m²NGFgekühlta;;QT_c*IN!N112/transmittance_Wm2
🧱;heat_balance;heat_loss;cooled;annual;hull;windows;QT_window_c;3;Transmission Fenster;kWh/m²NGFgekühlta;;QT_c*IN!N113/transmittance_Wm2
🧱;heat_balance;heat_loss;cooled;annual;hull;;QT_psi_c;3;Transmission Wärmebrücken;kWh/m²NGFgekühlta;;QT_c*IN!N114/transmittance_Wm2
💨;heat_balance;heat_loss;cooled;annual;;;QV_inf_c;3;Infiltration;kWh/m²NGFgekühlta;;-SUMME(sim[Qvinf_c])/1000
💨;heat_balance;heat_loss;cooled;annual;;;QV_window_c;3;Lüftung Fenster;kWh/m²NGFgekühlta;;-SUMME(sim[Qvwindow_c])/1000
💨;heat_balance;heat_loss;cooled;annual;;;QV_mechvent_c;3;Mechanische Lüftung;kWh/m²NGFgekühlta;;-SUMME(sim[Qvmechvent_c])/1000
🔀;heat_balance;heat_recovery;cooled;annual;;;QV_heatrecovery_c;3;ML Wärmerückgewinnung;kWh/m²NGFgekühlta;;"SUMMENPRODUKT(sim[dT_cooled];sim[ACH_mechvent_c]-sim[ACH_mechvent_therm_c])*cp_air*per_NFA_cooled * -0,001"
♨;heat_balance;heating_demand;cooled;annual;;;QH_min_c;3;Heizwärmebedarf Statisch;kWh/m²NGFgekühlta;;SUMME(sim[Qh_to_room_cooled_min])/1000
♨;heat_balance;heating_demand;cooled;annual;;;QH_flex_c;3;Heizwärmebedarf Flexibel;kWh/m²NGFgekühlta;;SUMME(sim[Qh_c])/1000-QH_min_c
❄;heat_balance;cooling_demand;cooled;annual;;;QC_min_c;3;Kühlbedarf Statisch;kWh/m²NGFgekühlta;;-SUMME(sim[Qc_min_excl_losses])/1000
❄;heat_balance;cooling_demand;cooled;annual;;;QC_flex_c;3;Kühlbedarf Flexibel;kWh/m²NGFgekühlta;;-SUMME(sim[Qc_flex_excl_losses])/1000
F;heat_balance;;cooled;annual;;;QC_flexanteil;3;Flexibilitätsanteil;ratio;;"WENNFEHLER(QC_flex_c/QC_c;0)"
F;heat_balance;;cooled;annual;;;QH_flexanteil_c;3;Flexibilitätsanteil;ratio;;"WENNFEHLER(QH_flex_c/QH_c;0)"
