icon;domain;measure;spatial_scope;temporal_scope;var_name;ka;label_de;unit
🌞;final_energy;EE-Bilanz;Elektrisch;MIV;PV_to_Eev_min;PV Direktdeckung;PV Direktdeckung MIV;kWh/m²NGFa
🌞;final_energy;EE-Bilanz;Elektrisch;Quartier;PV_total_direct;PV Direktdeckung;PV Direktdeckung Quartier;kWh/m²NGFa
🌞;final_energy;EE-Bilanz;Elektrisch;Heizen;PV_to_Eh_flex;PV Überdeckung;PV Überdeckung Heizen;kWh/m²NGFa
🌞;final_energy;EE-Bilanz;Elektrisch;Kühlen;PV_to_Ec_flex;PV Überdeckung;PV Überdeckung Kühlen;kWh/m²NGFa
🌞;final_energy;EE-Bilanz;Elektrisch;Warmwasser;PV_to_Edhw;PV Überdeckung;PV Überdeckung Warmwasser;kWh/m²NGFa
🌞;final_energy;EE-Bilanz;Elektrisch;"WW
E-Stab";PV_to_Edhw_direct;PV Überdeckung;"PV Überdeckung WW
E-Stab";kWh/m²NGFa
🌞;final_energy;EE-Bilanz;Elektrisch;e-Speicher Beladung;PV_to_Batt;PV Überdeckung;PV Überdeckung e-Speicher Beladung;kWh/m²NGFa
🌞;final_energy;EE-Bilanz;Elektrisch;MIV;PV_to_Eev_flex;PV Überdeckung;PV Überdeckung MIV;kWh/m²NGFa
🌞;final_energy;EE-Bilanz;Elektrisch;Quartier;PV_total_flex;PV Überdeckung;PV Überdeckung Quartier;kWh/m²NGFa
🌞;final_energy;EE-Bilanz;Elektrisch;;PV_to_Egrid;PV Netzeinspeisung;PV Netzeinspeisung;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;Haushaltsstrom;Batt_to_plugloads;;E-Batterie → Nutzerstrom;kWh/m²NGFa
;;;;;Batt_to_HVAC;;E-Batterie → HKLS;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;Heizen;Batt_to_Eh_min;;E-Batterie;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;Kühlen;Batt_to_Ec_min;;E-Batterie;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;Warmwasser;Batt_to_Edhw_min;;E-Batterie;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;Lüftung;Batt_to_Ev_min;;E-Batterie;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;MIV;Batt_to_Eev_min;;E-Batterie;kWh/m²NGFa
;;;;;Batt_charging_losses;;E-Batterie Verluste;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;Haushaltsstrom;VRGrid_to_plugloads;;Flexible Direktdeckung → Nutzerstrom;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;Heizen;VRGrid_to_Eh_min;;Flexible Direktdeckung → Heizen;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;Kühlen;VRGrid_to_Ec_min;;Flexible Direktdeckung → Kühlen;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;Warmwasser;VRGrid_to_Edhw_min;;Flexible Direktdeckung;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;Lüftung;VRGrid_to_Ev_min;;Flexible Direktdeckung;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;MIV;VRGrid_to_Eev_min;;Flexible Direktdeckung;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;Quartier;VRGrid_to_min;;Flexible Direktdeckung;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;Heizen;VRGrid_to_Eh_flex;;Flexible Überdeckung → Heizen;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;Kühlen;VRGrid_to_Ec_flex;;Flexible Überdeckung → Kühlen;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;Warmwasser;VRGrid_to_Edhw_flex;;Flexible Überdeckung;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;e-Speicher Beladung;VRGrid_to_Batt;;Flexible Überdeckung → Batterie;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;MIV;VRGrid_to_Eev_flex;;Flexible Überdeckung;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;Quartier;VRGrid_to_flex;;Flexible Überdeckung;kWh/m²NGFa
🔋;final_energy;EE-Bilanz;Elektrisch;Gebäude;VRGrid_to_building;;Flexible Deckung → Gebäude;kWh/m²NGFa
🚗;final_energy;EE-Bilanz;Elektrisch;Haushaltsstrom;Eev_to_plugloads;;E-Car Entladung → Nutzerstrom;kWh/m²NGFa
;;;;HKLS;Eev_to_HVAC;;E-Car Entladung → HKLS;kWh/m²NGFa
🚗;final_energy;EE-Bilanz;Elektrisch;Heizen;Eev_to_Eh_min;;E-Car Entladung;kWh/m²NGFa
🚗;final_energy;EE-Bilanz;Elektrisch;Kühlen;Eev_to_Ec_min;;E-Car Entladung;kWh/m²NGFa
🚗;final_energy;EE-Bilanz;Elektrisch;Warmwasser;Eev_to_Edhw_min;;E-Car Entladung;kWh/m²NGFa
🚗;final_energy;EE-Bilanz;Elektrisch;Lüftung;Eev_to_Ev_min;;E-Car Entladung;kWh/m²NGFa
🚗;final_energy;EE-Bilanz;Elektrisch;Verluste;Eev_discharge_loss;;E-Car Entladung;kWh/m²NGFa
🚗;final_energy;EE-Bilanz;Elektrisch;Quartier;Eev_to_district;;E-Car Entladung;kWh/m²NGFa
🔌;final_energy;EE-Bilanz;Elektrisch;Haushaltsstrom;Grid_to_plugloads;;Netzstrom → Nutzerstrom;kWh/m²NGFa
🔌;final_energy;EE-Bilanz;Elektrisch;Heizen;Grid_to_Eh_min;;Netzstrom;kWh/m²NGFa
🔌;final_energy;EE-Bilanz;Elektrisch;Kühlen;Grid_to_Ec_min;;Netzstrom;kWh/m²NGFa
🔌;final_energy;EE-Bilanz;Elektrisch;Warmwasser;Grid_to_Edhw_min;;Netzstrom;kWh/m²NGFa
🔌;final_energy;EE-Bilanz;Elektrisch;Lüftung;Grid_to_Ev_min;;Netzstrom;kWh/m²NGFa
🔌;final_energy;EE-Bilanz;Elektrisch;Gebäude;Grid_to_building_min;;Netzstrom → Gebäude;kWh/m²NGFa
🔌;final_energy;EE-Bilanz;Elektrisch;MIV;Grid_to_Eev_min;;Netzstrom;kWh/m²NGFa
🔌;final_energy;EE-Bilanz;Elektrisch;Quartier;Grid_to_min;;Netzstrom → Quartier;kWh/m²NGFa
🔌;final_energy;EE-Bilanz;Elektrisch;Quartier;Eev_ext_charge;;E-Car Ladung Außerhalb des Quartiers;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Heizen;EUIh_district_heating;;Fernwärme;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Warmwasser;EUIdhw_district_heating;;Fernwärme;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Quartier;EUI_district_heating;;Fernwärme;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Heizen;EUIh_natural_gas;;Gas;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Warmwasser;EUIdhw_natural_gas;;Gas;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Quartier;EUI_natural_gas;;Gas;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Heizen;EUIh_biomass;;Biomasse;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Warmwasser;EUIdhw_biomass;;Biomasse;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Quartier;EUI_biomass;;Biomasse;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Heizen;EUIh_other;;Sonstige;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Kühlen;EUIc_other;;Sonstige;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Warmwasser;EUIdhw_other;;Sonstige;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Quartier;EUI_other;;Sonstige;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;;EUI_mob_fossil;;MIV Fossil;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Quartier;EUIh_2th;;Heizen 2;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Quartier;EUIh_4th;;Heizen 4;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Quartier;EUIc_2th;;Kühlen 2;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Quartier;EUIdhw_1th;;WWWB1;kWh/m²NGFa
;final_energy;EE-Bilanz;Thermisch;Quartier;EUIdhw_2th;;WWWB2;kWh/m²NGFa
;final_energy;EE-Bilanz;Elektrisch;Quartier;Grid_total_flexandnotflex;;Netzstrom insg. (Flexibel und Inflexibel);kWh/m²NGFa
;primray_energy;PE-Bilanz;;;context_factor_density;;Kontextfaktor bauliche Dichte;kWhPEges./m²NGFa
;primray_energy;PE-Bilanz;;;context_factor_mobility;;Kontextfaktor Mobilität;kWhPEges./m²NGFa
;primray_energy;PE-Bilanz;;;context_factor_renovation;;Kontextfaktor Sanierung;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_demand;;Betriebsenergie;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_el_plugloads;;Nutzerstrom;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_el_hvac;;HKLS Strom;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_district_heating;;HKLS Fernwärme;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_natural_gas;;HKLS Erdgas;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_biomass;;HKLS Biomasse;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_other;;HKLS Sonstige;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_mob_total;;Mobilität (MIV);kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_mob_fossile;;MIV Fossil;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_mob_el;;MIV Elektrisch;kWhPEges./m²NGFa
;primray_energy;PE-Netzäquivalenz-Bilanz;Bedarf;;PEI_storage_losses;;Speicher-Verluste;kWhPEges./m²NGFa
;;PE-Netzäquivalenz-Bilanz;Deckung;;PEI_cf_density;;Kontext bauliche Dichte;kWhPEges./m²NGFa
;;PE-Netzäquivalenz-Bilanz;Deckung;;PEI_cf_mobility;;Kontext Mobilität;kWhPEges./m²NGFa
