icon;domain;measure;spatial_scope;temporal_scope;entity_group;entity_key;var_name;ka;label_de;unit
🌞;electricity_dispatch;PV_use;;static;energy_use;dhw_demand;PV_to_Edhw_min;3;3 static;kWh/m²NGFa
🌞;electricity_dispatch;PV_use;;static;energy_use;vent_el_demand;PV_to_Ev_min;3;3 static;kWh/m²NGFa
🌞;electricity_dispatch;PV_use;;static;energy_use;ev_local_charge;PV_to_Eev_min;3;3 static;kWh/m²NGFa
🌞;electricity_dispatch;PV_use;;static;energy_use;;PV_total_direct;3;3 static;kWh/m²NGFa
🌞;electricity_dispatch;PV_use;;flexible;energy_use;user_electricity;PV_to_Eh_flex;3;3 flexible;kWh/m²NGFa
🌞;electricity_dispatch;PV_use;;flexible;energy_use;heating_demand;PV_to_Ec_flex;3;3 flexible;kWh/m²NGFa
🌞;electricity_dispatch;PV_use;;flexible;energy_use;cooling_demand;PV_to_Edhw;3;3 flexible;kWh/m²NGFa
🌞;electricity_dispatch;PV_use;;flexible;energy_use;dhw_demand;PV_to_Edhw_direct;3;3 flexible;kWh/m²NGFa
🌞;electricity_dispatch;PV_use;;flexible;energy_use;vent_el_demand;PV_to_Batt;3;3 flexible;kWh/m²NGFa
🌞;electricity_dispatch;PV_use;;flexible;energy_use;ev_local_charge;PV_to_Eev_flex;3;3 flexible;kWh/m²NGFa
🌞;electricity_dispatch;PV_use;;flexible;energy_use;;PV_total_flex;3;3 flexible;kWh/m²NGFa
🌞;electricity_dispatch;PV_use;;;;;PV_to_Egrid;3;PV Netzeinspeisung;kWh/m²NGFa
🔋;electricity_dispatch;battery_use;;flexible;energy_use;user_electricity;Batt_to_plugloads;3;E-Batterie → Nutzerstrom;kWh/m²NGFa
;electricity_dispatch;battery_use;;flexible;;;Batt_to_HVAC;3;E-Batterie → HKLS;kWh/m²NGFa
🔋;electricity_dispatch;battery_use;;flexible;energy_use;heating_demand;Batt_to_Eh_min;3;E-Batterie;kWh/m²NGFa
🔋;electricity_dispatch;battery_use;;flexible;energy_use;cooling_demand;Batt_to_Ec_min;3;E-Batterie;kWh/m²NGFa
🔋;electricity_dispatch;battery_use;;flexible;energy_use;dhw_demand;Batt_to_Edhw_min;3;E-Batterie;kWh/m²NGFa
🔋;electricity_dispatch;battery_use;;flexible;energy_use;vent_el_demand;Batt_to_Ev_min;3;E-Batterie;kWh/m²NGFa
🔋;electricity_dispatch;battery_use;;flexible;energy_use;ev_local_charge;Batt_to_Eev_min;3;E-Batterie;kWh/m²NGFa
;electricity_dispatch;battery_use;;flexible;;;Batt_charging_losses;3;E-Batterie Verluste;kWh/m²NGFa
🔋;electricity_dispatch;flexible_grid_use;;flexible;energy_use;user_electricity;VRGrid_to_plugloads;3;Flexible Direktdeckung → Nutzerstrom;kWh/m²NGFa
🔋;electricity_dispatch;flexible_grid_use;;flexible;energy_use;heating_demand;VRGrid_to_Eh_min;3;Flexible Direktdeckung → Heizen;kWh/m²NGFa
🔋;electricity_dispatch;flexible_grid_use;;flexible;energy_use;cooling_demand;VRGrid_to_Ec_min;3;Flexible Direktdeckung → Kühlen;kWh/m²NGFa
🔋;electricity_dispatch;flexible_grid_use;;flexible;energy_use;dhw_demand;VRGrid_to_Edhw_min;3;Flexible Direktdeckung;kWh/m²NGFa
🔋;electricity_dispatch;flexible_grid_use;;flexible;energy_use;vent_el_demand;VRGrid_to_Ev_min;3;Flexible Direktdeckung;kWh/m²NGFa
🔋;electricity_dispatch;flexible_grid_use;;flexible;energy_use;ev_local_charge;VRGrid_to_Eev_min;3;Flexible Direktdeckung;kWh/m²NGFa
🔋;electricity_dispatch;flexible_grid_use;district;flexible;;;VRGrid_to_min;3;Flexible Direktdeckung;kWh/m²NGFa
🔋;electricity_dispatch;flexible_grid_use;;flexible;energy_use;heating_demand;VRGrid_to_Eh_flex;3;Flexible Überdeckung → Heizen;kWh/m²NGFa
🔋;electricity_dispatch;flexible_grid_use;;flexible;energy_use;cooling_demand;VRGrid_to_Ec_flex;3;Flexible Überdeckung → Kühlen;kWh/m²NGFa
🔋;electricity_dispatch;flexible_grid_use;;flexible;energy_use;dhw_demand;VRGrid_to_Edhw_flex;3;Flexible Überdeckung;kWh/m²NGFa
🔋;electricity_dispatch;flexible_grid_use;;flexible;energy_use;vent_el_demand;VRGrid_to_Batt;3;Flexible Überdeckung → Batterie;kWh/m²NGFa
🔋;electricity_dispatch;flexible_grid_use;;flexible;energy_use;ev_local_charge;VRGrid_to_Eev_flex;3;Flexible Überdeckung;kWh/m²NGFa
🔋;electricity_dispatch;flexible_grid_use;district;flexible;;;VRGrid_to_flex;3;Flexible Überdeckung;kWh/m²NGFa
🔋;electricity_dispatch;flexible_grid_use;;flexible;;;VRGrid_to_building;3;Flexible Deckung → Gebäude;kWh/m²NGFa
🚗;electricity_dispatch;ev2b_use;;static;energy_use;user_electricity;Eev_to_plugloads;3;E-Car Entladung → Nutzerstrom;kWh/m²NGFa
;electricity_dispatch;ev2b_use;;static;;;Eev_to_HVAC;3;E-Car Entladung → HKLS;kWh/m²NGFa
🚗;electricity_dispatch;ev2b_use;;static;energy_use;heating_demand;Eev_to_Eh_min;3;E-Car Entladung;kWh/m²NGFa
🚗;electricity_dispatch;ev2b_use;;static;energy_use;cooling_demand;Eev_to_Ec_min;3;E-Car Entladung;kWh/m²NGFa
🚗;electricity_dispatch;ev2b_use;;static;energy_use;dhw_demand;Eev_to_Edhw_min;3;E-Car Entladung;kWh/m²NGFa
🚗;electricity_dispatch;ev2b_use;;static;energy_use;vent_el_demand;Eev_to_Ev_min;3;E-Car Entladung;kWh/m²NGFa
🚗;electricity_dispatch;ev2b_use;;static;;;Eev_discharge_loss;3;E-Car Entladung;kWh/m²NGFa
🚗;electricity_dispatch;ev2b_use;;static;;;Eev_to_district;3;E-Car Entladung;kWh/m²NGFa
🔌;electricity_dispatch;grid_use;;static;energy_use;user_electricity;Grid_to_plugloads;3;Netzstrom → Nutzerstrom;kWh/m²NGFa
🔌;electricity_dispatch;grid_use;;static;energy_use;heating_demand;Grid_to_Eh_min;3;Netzstrom;kWh/m²NGFa
🔌;electricity_dispatch;grid_use;;static;energy_use;cooling_demand;Grid_to_Ec_min;3;Netzstrom;kWh/m²NGFa
🔌;electricity_dispatch;grid_use;;static;energy_use;dhw_demand;Grid_to_Edhw_min;3;Netzstrom;kWh/m²NGFa
🔌;electricity_dispatch;grid_use;;static;energy_use;vent_el_demand;Grid_to_Ev_min;3;Netzstrom;kWh/m²NGFa
🔌;electricity_dispatch;grid_use;;static;;;Grid_to_building_min;3;Netzstrom → Gebäude;kWh/m²NGFa
🔌;electricity_dispatch;grid_use;;static;energy_use;ev_local_charge;Grid_to_Eev_min;3;Netzstrom;kWh/m²NGFa
🔌;electricity_dispatch;grid_use;;static;;;Grid_to_min;3;Netzstrom → Quartier;kWh/m²NGFa
🔌;electricity_dispatch;ev_charge_ext;external;;;;Eev_ext_charge;3;E-Car Ladung Außerhalb des Quartiers;kWh/m²NGFa
;energy_dispatch;district_heating_use;;static;energy_use;heating_demand;EUIh_district_heating;3;Fernwärme;kWh/m²NGFa
;energy_dispatch;district_heating_use;;static;energy_use;dhw_demand;EUIdhw_district_heating;3;Fernwärme;kWh/m²NGFa
;energy_dispatch;district_heating_use;district;static;;;EUI_district_heating;3;Fernwärme;kWh/m²NGFa
