var_name;Domain;Measure;Unit;Formula
DHW_storage_losses_2;Warmwasser-Wärmebedarf;WW Verluste;kW;=DHW_losses_2*DHW_storage_2_liter*cp_water/1000
DHW_heat_demand_1_kW;Warmwasser-Wärmebedarf;WW Entnahme;kW;=DHW_1_is_used*([@[DHW_storage_losses_1]]+DHW_1_incl_distribution_factor*SUMPRODUCT(sim[@[DHW_residential_kW]:[DHW_other_kW]],DHW_system1_shares))
DHW_heat_demand_2_kW;Warmwasser-Wärmebedarf;WW Entnahme;kW;=DHW_2_is_used*([@[DHW_storage_losses_2]]+DHW_2_incl_distribution_factor*SUMPRODUCT(sim[@[DHW_residential_kW]:[DHW_other_kW]],1-(DHW_system1_shares)))
Tdhw1_passive_losses;Warmwasser-Wärmebedarf;WW Entnahme;;=[@[Tdhw1_0]]-IFERROR([@[DHW_heat_demand_1_kW]]*1000/DHW_storage_1_liter/cp_water,0)
Tdhw2_passive_losses;Warmwasser-Wärmebedarf;WW Entnahme;;=[@[Tdhw2_0]]-IFERROR([@[DHW_heat_demand_2_kW]]*1000/DHW_storage_2_liter/cp_water,0)
Qdhw_1_min;Warmwasser-Wärmebedarf;WWWB Minimum;Wh/m²NFA;=MAX(0,(DHW_Tmin-[@[Tdhw1_passive_losses]])*DHW_storage_1_liter*cp_water)*per_NFA
Qdhw_2_min;Warmwasser-Wärmebedarf;WWWB Minimum;Wh/m²NFA;=MAX(0,(DHW_Tmin-[@[Tdhw2_passive_losses]])*DHW_storage_2_liter*cp_water)*per_NFA
Qdhw_min;Warmwasser-Wärmebedarf;WWWB Minimum;Wh/m²NFA;=SUM(sim[@[Qdhw_1_min]:[Qdhw_2_min]])
Qdhw_1_flexpotential;Warmwasser-Wärmebedarf;WWWB Flexibel;Wh/m²NFA;=flex_dhw_use*DHW_1_is_electric*MAX(0,(DHW_Tmax-[@[Tdhw1_passive_losses]])*DHW_storage_1_liter*cp_water*per_NFA-[@[Qdhw_1_min]])
Qdhw_2_flexpotential;Warmwasser-Wärmebedarf;WWWB Flexibel;Wh/m²NFA;=flex_dhw_use*DHW_2_is_electric*MAX(0,(DHW_Tmax-[@[Tdhw2_passive_losses]])*DHW_storage_2_liter*cp_water*per_NFA-[@[Qdhw_2_min]])
Edhw_1_min_el;Warmwasser-Wärmebedarf;WWWB Flexibel;Wh/m²NFA;=[@[Qdhw_1_min]]*(DHW_conversion_1*DHW_1_is_electric+DHW_1_el_aux)
Edhw_2_min_el;Warmwasser-Wärmebedarf;WWWB Flexibel;Wh/m²NFA;=[@[Qdhw_2_min]]*(DHW_conversion_2*DHW_2_is_electric+DHW_2_el_aux)
Spalte12;;;;
Spalte122;;;;
Spalte123;;;;
EVd_res;E-Mobilität;EV Anzahl Vor Ort;Cars;=EV_count_residential*mob[@[p_res_d]]
EVd_work;E-Mobilität;EV Anzahl Vor Ort;;=EV_count_work*mob[@[p_work_d]]
