Wind 2013,Wind 2015,Wind 2016,"Wind 2030, TU EEG, ""Stromzukunft""",WEB 2015 Umgebung Wien,Hochrechnung Ueberschuss 2050,Wind AT 2017,Wind AT 2018,Wind AT 2019,Wind AT 2020
0.0366625,0.3445895,1.395308,6.632971258,0.846231,0,483.284,550.174,2182,1316
0.0359155,0.305066,1.1111565,6.562920078,0.700731,0,568.124,488.619,2328,1164
0.026073,0.34075,0.9675153,6.453465113,0.493014,0,604.762,415.029,2200,943
0.0143995,0.3270008,0.9492638,6.358154349,0.349203,0,740.401,395.701,1821,830
0.0104175,0.3570485,0.9928538,5.593149038,0.326439,0,1020.392,390.587,1824,789
0.0037295,0.3503825,0.9911743,4.1877472,0.350475,0,1299.518,380.854,2046,608
0.0023775,0.2954558,1.0956425,3.633905046,0.537,0,1701.194,390.667,2052,551
0.0023705,0.3527458,1.4636418,3.830923993,0.743853,0,1971.843,363.777,2066,432
0.0042503,0.3618183,1.2981613,4.056401233,0.397266,0,2083.126,323.723,1773,261
0.0043763,0.3334648,1.3859578,3.938189867,0.463521,0,1893.515,307.722,1993,200
0.0043955,0.331813,1.5394093,3.951324468,0.240456,0,1743.431,264.005,2073,176
0.006124,0.3433043,1.3668473,4.275311182,0.017268,0,1767.517,237.368,2104,154
0.012104,0.2814765,1.4180663,4.511733914,0.003864,0,1556.678,223.197,2136,129
0.02578,0.244577,1.341331,5.586581737,0.003519,0,1147.652,208.576,2004,79
0.0346388,0.2368275,1.1651338,6.389981225,0.011802,0,791.171,165.026,1674,45
0.0415855,0.203724,1.1266968,6.648517549,0,0,829.877,160.497,1310,33
0.0566778,0.1485033,1.4182225,6.604574072,0,0,1005.654,129.619,1928,29
