Roof tilt: 15° (Vienna);Azi80Tilt27Wp460;Gesamtquartier;Azi-100Tilt15Wp460;BICHL_100 kWp 90%;V1oPBlend_ges;Var_Planstand_Pilzgasse
0.03166666666666667;0.03;84.6032023736247;0.031;37.3842;9.3;68.452
0.02666666666666667;0.029;79.96295024247094;0.03;30.7872;8.86;59.927
0.018666666666666668;0.019;53.09771099394036;0.02;20.8494;5.73;39.605
0.008;0.01;28.311546587778643;0.011;8.997300000000001;3.08;17.274
0.0006666666666666666;0;0;0;1.4301;0.07;0.273
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.0006666666666666666;0;0;0;0;0.07;0.277
0.13233333333333333;0.007;18.988866403609496;0.007;2.0709000000000004;2.02;20.588
0.19266666666666665;0.019;53.09771099394036;0.02;7.1064;5.87;52.329
0.23566666666666666;0.028;80.15579122103735;0.03;11.0502;8.89;77.521
0.265;0.03;84.98888433075751;0.032;13.698;9.34;95.599
0.27366666666666667;0.028;79.77010926390453;0.03;14.5377;8.8;102.36
0.23966666666666667;0.024;68.75403619449932;0.026;13.3272;7.53;89.438
0.19866666666666666;0.021;58.60574752864296;0.022;10.4265;6.49;64.3
0.106;0.011;30.294200940864307;0.011;5.6943;3.37;32.083
0.0006666666666666666;0;0;0;1.2006000000000001;0.07;0.274
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.0006666666666666666;0;0;0;0;0.08;0.28
0.15166666666666667;0.015;126.63059573073826;0.054;1.6686;17.82;14.551
0.21766666666666667;0.035;223.66619991191106;0.087;7.1918999999999995;32.18;42.592
0.26366666666666666;0.073;300.61610637067923;0.106;11.1951;42.09;58.952
0.3193333333333333;0.109;359.89692599950115;0.115;13.894200000000001;50.4;68.069
0.32566666666666666;0.109;303.71363067330174;0.095;14.7501;40.11;69.421
0.2936666666666667;0.109;271.0089175003573;0.077;13.5378;36.45;60.241
0.244;0.095;206.74446838030696;0.047;10.6029;29.62;40.845
0.17766666666666667;0.048;96.66796085478168;0.02;5.8662;13.93;19.056
0.002;0.001;2.464756799501689;0.001;1.6443;0.15;0.611
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.0006666666666666666;0;0;0;0;0.08;0.281
0.17233333333333334;0.017;67.6391662449625;0.027;2.4345000000000003;8.39;24.524
0.2343333333333333;0.037;139.0327615867882;0.053;10.520999999999999;17.46;68.208
0.2796666666666667;0.057;188.4363867116652;0.069;17.1369;23.33;109.602
0.3203333333333333;0.068;199.4403911355104;0.072;20.2347;23.48;146.649
0.3313333333333333;0.079;219.48391293605343;0.074;19.9557;27.11;170.234
0.29833333333333334;0.077;198.7173018034846;0.063;17.1495;25.08;154.889
0.24966666666666668;0.049;126.04610280985732;0.041;11.630700000000001;15.26;106.697
0.17933333333333334;0.025;60.847556073276586;0.019;6.0363;7.39;55.102
0.0016666666666666668;0.001;2.464756799501689;0.001;2.5902000000000003;0.15;0.608
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
