Icon	Name	Einheit	Kommentar	Type	var_name	REF	ka	STAGE	Default Var	Neues Projekt	Test_PG2	Test_AB	Test_RU	TESTWuerfel	Alliiertenviertel Bestand	Pgteilgeühlt	Beispielquartier ohne Kühlung	Test	Spalte2	Spalte3	Spalte4	Kurze ID	Kurze ID_2	Kurze ID_2_2	Kurze ID_2_2_2_2	test_2
🏗️	Decke gegen Erdreich / Keller GWP 100S (kg CO2equiv/m²a)			Alt		eco2soft	0	0,0	0	0,0	1,6	0,0	0,0	0		1,64	1,64	0,0				0	0	0	0	0
🏗️	Zwischen-geschoßdecken GWP 100S (kg CO2equiv/m²a)			Alt		eco2soft	0	0,0	0	0,0	1,6	0,0	0,0	0		1,64	1,64	0,0				0	0	0	0	0
🏗️	Allgemein baulich GWP 100S (kg CO2equiv/m²a)			Alt		eco2soft	0	0,0	0	0,0	0,8	0,0	0,0	0		0,75	0,75	0,0				0	0	0	0	0
🏗️	PV-Anlage GWP 100S (kg CO2equiv/m²a)			Alt		eco2soft	0	0,0	0	0,0	0,0	0,0	0,0	0		0,00	0,00	0,0				0	0	0	0	0
🏗️	Erdwärme-sonden GWP 100S (kg CO2equiv/m²a)			Alt		eco2soft	0	0,0	0	0,0	0,2	0,0	0,0	0		0,20	0,20	0,0				0	0	0	0	0
🏗️	Komfort-lüftung GWP 100S (kg CO2equiv/m²a)			Alt		eco2soft	0	0,0	0	0,0	0,1	0,0	0,0	0		0,06	0,06	0,0				0	0	0	0	0
🏗️	Solarthermie GWP 100S (kg CO2equiv/m²a)			Alt		eco2soft	0	0,0	0	0,0	0,0	0,0	0,0	0		0,00	0,00	0,0				0	0	0	0	0
🏗️	Allgemein Haustechnik GWP 100S (kg CO2equiv/m²a)			Alt		eco2soft	0	0,0	0	0,0	1,3	0,0	0,0	0		1,25	1,25	0,0				0	0	0	0	0
	Wärme-brücken-zuschlag			Abgelöst in Klimaaktiv		Gebäude	0	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,05	0,10	0,10	0,1				0,05	0,05	0,05	0,05	0,05
	Transmission gesamt (W/K/m²NGF)			Zwischenrechnung		Gebäude	0	1,1		1,1		0,3	1,1			0,00	0,23	1,1				1,144372826	1,144372826	1,144372826	1,144372826	1,144372826
	Durchschn. Raumhöhe für die Berechnung des Lüfungs-volumen (m)			Abgelöst in Klimaaktiv		Gebäude	0	2,5	2,9	2,5	2,6	2,5	2,5	2,9	2,50	2,60	2,60	2,5				2,5	2,5	2,5	2,5	2,5
	Gewinne durch opake Bauteile 			Abgelöst in Klimaaktiv		Gebäude	0	1,1	1,06560157	1,1	1,1	1,1	1,1	1,06560157	1,07	1,07	1,07	1,1				1,06560157	1,06560157	1,06560157	1,06560157	1,06560157
	Mobiler Sommerlicher Sonnenschutz			Alt		Gebäude	0	1,0	1	1,0	1,0	0,6	1,0	1	0,96	0,96	0,96	1,0				0,960593877	0,960593877	0,960593877	0,960593877	0,960593877
	Referenz g-Wert			Alt		Gebäude	0	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,50	0,50	0,50	0,5				0,5	0,5	0,5	0,5	0,5
	Faktor Solare Gewinne Kühlsaison			Zwischenrechnung		Gebäude	0	1,2	1,023610344	1,2	1,0	0,6	1,2	1,023610344		1,02	0,81	1,2				1,228332412	1,228332412	1,228332412	1,228332412	1,228332412
	Anzahl Fahrzeuge/Stellplätze			Alt		Gebäude	0	60,0		60,0	190,0	61,0	60,0			190,00	190,00	60,0				60	60	60	60	60
	m²NF/Person aus UAP Studie Wohnen			Alt		Gebäude	0	36,2		36,2	41,7	25,8	36,2		36,20	41,70	41,70	36,2				36,2	36,2	36,2	36,2	36,2
	m²NF/Person aus UAP Studie Büro			Alt		Gebäude	0	5,8		5,8	5,9	5,8	5,8		5,80	5,90	5,90	5,8				5,8	5,8	5,8	5,8	5,8
	m²NF/Person aus UAP Studie Ausbildung			Alt		Gebäude	0	2,6		2,6	2,5	2,6	2,6		2,60	2,50	2,50	2,6				2,6	2,6	2,6	2,6	2,6
	m²NF/Person aus UAP Studie Handel			Alt		Gebäude	0	20,0		20,0	10,7	20,0	20,0		20,00	10,70	10,70	20,0				20	20	20	20	20
🔥	Heizung: Raumtemp.Minimum (°C)			Alt		Heizung	0	22,0	22	22,0	21,0	22,0	22,0	22	21,00	21,00	21,00	22,0				22	22	22	22	22
🔥	Heizung: Raumtemp.Maximum (°C)			Alt		Heizung	0	25,0	25	25,0	25,0	25,0	25,0	25	21,00	25,00	25,00	25,0				25	25	25	25	25
🔥	Wirkungsgrad Verteilungsverluste			Alt		Heizung	0	1,0	0,95	1,0	1,0	0,9	1,0	0,95	0,85	0,95	0,95	1,0				0,95	0,95	0,95	0,95	0,95
